sp,page_no_book,eq_no_book,,eq_type,eq_ty_n,level,state,region,eq_typ,eq,eq_transformed,equation,"V = f(D=1,H=10))",a,b,c,d,n,r_squared,remarks,eq_extra,dia_>,dia_<
Pterocarpus marsupium,144,498,1-498,G,1,multi_catchment,Maharashtra,Sondad catchment- Bhandara district. The general volume equation was also used for Wadsa catchment (Chandrapur),G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.03611+0.33714*(D^2)*H ,3.408,0.03611,0.33714,,,42,0.9022,,,,
Pterocarpus marsupium,144,498,1-498,L,1,catchment,Maharashtra,Sondad catchment- Bhandara district.,L1,V=a+b*D^2,a+b*D^2,#NAME?,6.523,-0.0296,6.552826,,,116,0.9839,,,,
Pterocarpus marsupium,144,499,1-499,L,2,catchment,Maharashtra,Wadsa catchment (Chandrapur),L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.107059-1.010240*D+7.685670*D^2 ,6.782,0.107059,-1.01024,7.68567,,59,0.9716,,,,
Pterocarpus marsupium,144,500,1-500,G,8,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts).",G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.382499-0.007399*(D^2)*H)*((D^2)*H) ,3.085,0.382499,-0.007399,,,,,,,,
Pterocarpus marsupium,144,500,1-500,L,2,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts).",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.058424-1.233468*D+9.433633*D^2 ,8.259,0.058424,-1.233468,9.433633,,400,0.9612,,,,
Pterocarpus marsupium,144,501,1-501,G,6,district,Orissa,Koraput district.,G6,V=a+b*D+c*D^2+d*(D^2)*H,a+b*D+c*D^2+d*(D^2)*H,#NAME?,4.603,-0.01439,0,1.33284,0.328477,69,0.97746,,,,
Pterocarpus marsupium,144,501,1-501,L,6,multi_district,Orissa,"Koraput district. The local volume equation was also used for Sambalpur, Mayurbhanj and Balasore districts.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(-0.16276+2.82002*D+0.04034*sqrt(D))^2 ,7.277,-0.16276,2.82002,0.04034,,184,0.98602,,,,
Pterocarpus marsupium,144,502,1-502,L,2,multi_state,FAO Project Area,"Kerala, Tamilnadu Andhra Pradesh, M.P. and Orissa",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.7-1.295*D+9.429*D^2 ,8.834,0.7,-1.295,9.429,,,,,,,
Pterocymbium tinctorium (Sterculia companulata),145,503,1-503,,,,,,,,,,,,,,,,,,,,
Pterocymbium tinctorium (Sterculia companulata),145,504,1-504,,,,,,,,,,,,,,,,,,,,
Pterocymbium tinctorium (Sterculia companulata),145,505,1-505,,,,,,,,,,,,,,,,,,,,
Pterospermum acerifolium,146,506,1-506,,,,,,,,,,,,,,,,,,,,
Pterospermum acerifolium,146,507,1-507,,,,,,,,,,,,,,,,,,,,
Pterospermum acerifolium,146,508,1-508,,,,,,,,,,,,,,,,,,,,
Pterospermum species,146,509,1-509,,,,,,,,,,,,,,,,,,,,
Quercus dilalala,147,510,1-510,,,,,,,,,,,,,,,,,,,,
Quercus dilalala,147,511,1-511,,,,,,,,,,,,,,,,,,,,
Quercus dilalala,148,512,1-512,,,,,,,,,,,,,,,,,,,,
Quercus dilalala,149,513,1-513,,,,,,,,,,,,,,,,,,,,
Quercus dilalala,149,514,1-514,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,515,1-515,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,516,1-516,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,517,1-517,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,518,1-518,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,519,1-519,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,520,1-520,,,,,,,,,,,,,,,,,,,,
Quercus incana,150,521,1-521,,,,,,,,,,,,,,,,,,,,
Quercus incana,151,522,1-522,,,,,,,,,,,,,,,,,,,,
Quercus incana,151,523,1-523,,,,,,,,,,,,,,,,,,,,
Quercus lamellosa,151,524,1-524,,,,,,,,,,,,,,,,,,,,
Quercus lamellosa,151,525,1-525,,,,,,,,,,,,,,,,,,,,
Quercus lineata,152,526,1-526,,,,,,,,,,,,,,,,,,,,
Quercus lineata,152,527,1-527,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,153,528,1-528,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,153,529,1-529,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,153,530,1-530,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,153,531,1-531,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,153,532,1-532,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,153,533,1-533,,,,,,,,,,,,,,,,,,,,
Quercus semecarpifolia,154,534,1-534,,,,,,,,,,,,,,,,,,,,
Quercus species,154,535,1-535,,,,,,,,,,,,,,,,,,,,
Quercus species,154,536,1-536,,,,,,,,,,,,,,,,,,,,
Quercus species,154,537,1-537,,,,,,,,,,,,,,,,,,,,
Quercus species,154,538,1-538,,,,,,,,,,,,,,,,,,,,
Quercus species,154,539,1-539,,,,,,,,,,,,,,,,,,,,
Quercus species,155,540,1-540,,,,,,,,,,,,,,,,,,,,
Quercus species,155,541,1-541,,,,,,,,,,,,,,,,,,,,
Quercus species,155,542,1-542,,,,,,,,,,,,,,,,,,,,
Quercus species,155,543,1-543,,,,,,,,,,,,,,,,,,,,
Quercus species,155,543,1-543a,,,,,,,,,,,,,,,,,,,,
Rhododendron arboreum,156,544,1-544,,,,,,,,,,,,,,,,,,,,
Rhododendron arboreum,156,545,1-545,,,,,,,,,,,,,,,,,,,,
Rhododendron species,156,546,1-546,,,,,,,,,,,,,,,,,,,,
Rhododendron species,156,547,1-547,,,,,,,,,,,,,,,,,,,,
Salmalia (Bombax) insignis,157,548,1-548,,,,,,,,,,,,,,,,,,,,
Sapium eugenifolium,157,549,1-549,,,,,,,,,,,,,,,,,,,,
Saurinia nepalensis,157,550,1-550,,,,,,,,,,,,,,,,,,,,
Schima khasiana,158,551,1-551,,,,,,,,,,,,,,,,,,,,
Schima wallichii,158,552,1-552,,,,,,,,,,,,,,,,,,,,
Schima wallichii,158,553,1-553,,,,,,,,,,,,,,,,,,,,
Schima wallichii,159,554,1-554,,,,,,,,,,,,,,,,,,,,
Schima wallichii,159,555,1-555,,,,,,,,,,,,,,,,,,,,
Schleichera trijuga,159,556,1-556,,,,,,,,,,,,,,,,,,,,
Schleichera trijuga,160,557,1-557,,,,,,,,,,,,,,,,,,,,
Semecarpus anacardium,160,558,1-558,,,,,,,,,,,,,,,,,,,,
Shorea assamica,161,559,1-559,,,,,,,,,,,,,,,,,,,,
Shorea assamica,161,560,1-560,,,,,,,,,,,,,,,,,,,,
Shorea robusta,162,561,1-561,,,,,,,,,,,,,,,,,,,,
Shorea robusta,162,562,1-562,,,,,,,,,,,,,,,,,,,,
Shorea robusta,162,563,1-563,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,564,1-564,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,565,1-565,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,566,1-566,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,567,1-567,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,568,1-568,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,569,1-569,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,570,1-570,,,,,,,,,,,,,,,,,,,,
Shorea robusta,163,571,1-571,,,,,,,,,,,,,,,,,,,,
Shorea robusta,164,572,1-572,,,,,,,,,,,,,,,,,,,,
Shorea robusta,164,573,1-573,,,,,,,,,,,,,,,,,,,,
Shorea robusta,164,574,1-574,,,,,,,,,,,,,,,,,,,,
Shorea robusta,164,575,1-575,,,,,,,,,,,,,,,,,,,,
Shorea robusta,164,576,1-576,,,,,,,,,,,,,,,,,,,,
Shorea robusta,164,577,1-577,,,,,,,,,,,,,,,,,,,,
Shorea robusta,165,578,1-578,,,,,,,,,,,,,,,,,,,,
Shorea robusta,165,579,1-579,,,,,,,,,,,,,,,,,,,,
Shorea robusta,165,580,1-580,,,,,,,,,,,,,,,,,,,,
Shorea robusta,165,581,1-581,,,,,,,,,,,,,,,,,,,,
Shorea robusta,165,582,1-582,,,,,,,,,,,,,,,,,,,,
Sideroxylon longepetiolatum,166,583,1-583,,,,,,,,,,,,,,,,,,,,
Sideroxylon longepetiolatum,166,584,1-584,,,,,,,,,,,,,,,,,,,,
Spondias pinnata,166,585,1-585,,,,,,,,,,,,,,,,,,,,
Sterculia villosa,167,586,1-586,,,,,,,,,,,,,,,,,,,,
Sterculia villosa,167,587,1-587,,,,,,,,,,,,,,,,,,,,
Sterculia villosa,167,588,1-588,,,,,,,,,,,,,,,,,,,,
Stereospermum personatum,168,589,1-589,,,,,,,,,,,,,,,,,,,,
Stereospermum personatum,168,590,1-590,,,,,,,,,,,,,,,,,,,,
Stereospermum suaveolens,168,591,1-591,,,,,,,,,,,,,,,,,,,,
Symplocos spicata,169,592,1-592,,,,,,,,,,,,,,,,,,,,
Symplocos spicata,169,593,1-593,,,,,,,,,,,,,,,,,,,,
Symplocos theaefolia,169,594,1-594,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,170,595,1-595,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,170,596,1-596,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,170,597,1-597,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,170,598,1-598,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,171,599,1-599,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,171,600,1-600,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,171,601,1-601,,,,,,,,,,,,,,,,,,,,
Syzygium species,171,602,1-602,L,3,multi_district,Assam,Assam survey (15 districts),L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,#NAME?,18.203,-0.13284,1.88944,-4.96385,21.41051,78,0.93485,,,,
Taxus baccata,172,603,1-603,L,,,,,L,,,,,,,,,,,,,,
Tectona grandis,173,604,1-604,G,1,forest_division,Andhra Pradesh,Mehboobnagar Forest division,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.003027+0.295446*((D^2)*H),2.957,0.003027,0.295446,,,,,,,,
Tectona grandis,173,604,1-604,L,1,forest_division,Andhra Pradesh,Mehboobnagar Forest division,L1,V=a+b*D^2,a+b*D^2,#NAME?,5.555,-0.085926,5.640754,,,51,0.96,,,,
Tectona grandis,173,605,1-605,G,1,district,Andhra Pradesh,Adilabad district,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.01103+0.31458*((D^2)*H),3.157,0.01103,0.31458,,,,,,,,
Tectona grandis,173,605,1-605,L,2,district,Andhra Pradesh,Adilabad district,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.023613-0.531006*D+6.731036*(D^2),6.224,0.023613,-0.531006,6.731036,,,,,,,
Tectona grandis,173,606,1-606,L,3,multi_district,Assam,Assam survey (15 districts),L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.19112-3.25372*D+17.9194*(D^2)-1.66117*(D^3),13.196,0.19112,-3.25372,17.9194,-1.66117,133,0.99588,,,,
Tectona grandis,173,607,1-607,G,4,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The general and local volume equations were also used for Mewasi Forest division, Nasik, Thane and Raigarh districts of Maharashtra. The local volume equation was also used for Khargone, Khandwa, Dewas, Jhabua, Indore and Dhar districts of M.P.",G4,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2,a+b*D+c*(D^2)*H+d*((D^2)*H)^2,#NAME?,3.223,-0.01311,0.360062,0.003649,,94,0.9836,,,,
Tectona grandis,173,607,1-607,L,6,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The general and local volume equations were also used for Mewasi Forest division, Nasik, Thane and Raigarh districts of Maharashtra. The local volume equation was also used for Khargone, Khandwa, Dewas, Jhabua, Indore and Dhar districts of M.P.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(-0.405890+1.98158*D+0.987373*sqrt(D))^2,6.569,-0.40589,1.98158,0.987373,,925,,,,,
Tectona grandis,174,608,1-608,L,1,multi_district,Karnataka,"Chickmaglur, Hassan and Shimoga districts",L1,V=a+b*D^2,a+b*D^2,0.086+5.641*(D^2),5.727,0.086,5.641,,,,,,,,
Tectona grandis,174,609,1-609,G,1,district,Karnataka,Kodagu district.,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.63,-0.001384,0.363126,,,,,,,,
Tectona grandis,174,609,1-609,L,3,district,Karnataka,Kodagu district.,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,#NAME?,11.869,-0.27773,3.10419,-6.12739,15.16993,,,,,,
Tectona grandis,174,610,1-610,G,6,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Tarai region of Uttar Pradesh.",G6,V=a+b*D+c*D^2+d*(D^2)*H,a+b*D+c*D^2+d*(D^2)*H,0.006+2.661999*D^2+0.280538*(D^2)*H,5.473,0.006,0,2.661999,0.280538,146,,,,,
Tectona grandis,174,610,1-610,L,4,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Tarai region of Uttar Pradesh.",L4,V=a+b*sqrt(D)+c*D^2,a+b*sqrt(D)+c*D^2,0.04346-0.26352*sqrt(D)+8.79334*D^2 ,8.573,0.04346,-0.26352,8.79334,,817,0.97332,,,,
Tectona grandis,174,611,1-611,G,1,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts. The general volume equation was also used for Raipur district.,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.005011 +0.355606*((D^2)*H),3.561,0.005011,0.355606,,,29,0.982936,,,,
Tectona grandis,174,611,1-611,L,9,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts. The general volume equation was also used for Raipur district.,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(0.045181/(D^2)-0.91863/D+8.18261+1.95661*D)*(D^2),9.266,8.18261,0.045181,-0.91863,1.95661,621,0.76031,,,,
Tectona grandis,174,612,1-612,L,1,district,Madhya Pradesh,Bilaspur district.,L1,V=a+b*D^2,a+b*D^2,0.005011 +0.355606*((D^2)*H),3.561,0.005011,0.355606,,,29,0.982936,,,,
Tectona grandis,174,613,1-613,L,9,district,Madhya Pradesh,Raipur district.,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(0.12591/(D^2)-2.45212/D+16.52336-7.57135*D)*(D^2),6.626,16.52336,0.12591,-2.45212,-7.57135,124,0.85328,,,,
Tectona grandis,174,614,1-614,G,7,catchment,Maharashtra,Ballarshah catchment Chandrapur,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-0.895849+2.048538*log(D)+0.945216*log(H)),1.051,-0.895849,2.048538,0.945216,,59,0.977,,,,
Tectona grandis,174,614,1-614,L,8,catchment,Maharashtra,Ballarshah catchment Chandrapur,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(10.1161-1.406473/D+0.074892/(D^2))*(D^2),8.785,10.1161,-1.406473,0.074892,,186,0.8239,,,,
Tectona grandis,174,616,1-615,G,9,multi_catchment,Maharashtra,Sondad catchment- Bhandara district. The general volume equation was also used for Wadsa catchment (Chandrapur),G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.30446-0.0023/((D^2)*H))*((D^2)*H),3.042,0.30446,0,-0.0023,,37,0.009,D^H<= 1.5,,,
Tectona grandis,174,617,1-615,G,1,multi_catchment,Maharashtra,Sondad catchment- Bhandara district. The general volume equation was also used for Wadsa catchment (Chandrapur),G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.08758+0.24432*(D^2)*H ,2.531,0.08758,0.24432,,,37,0.956,D^H> 1.5,,,
Tectona grandis,174,618,1-615,L,2,catchment,Maharashtra,Sondad catchment- Bhandara district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,5.985,-0.003673,-0.379175,6.368282,,58,0.9858,,,,
Tectona grandis,175,619,1-616,L,5,catchment,Maharashtra,Wadsa catchment (Chandrapur),L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.106720+2.562418*D)^2,6.03,-0.10672,2.562418,,,30,0.9768,,,,
Tectona grandis,175,620,1-617,G,9,forest_division,Maharashtra,Melghat Forest Division,G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.363126-0.001384/((D^2)*H))*((D^2)*H),3.63,0.363126,0,-0.001384,,302,0.0548,,,,
Tectona grandis,175,621,1-617,L,2,forest_division,Maharashtra,Melghat Forest Division,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.032011-0.995414*D+9.91129*(D^2),8.948,0.032011,-0.995414,9.91129,,301,0.7601,,,,
Tectona grandis,175,622,1-618,G,1,forest_division,Rajasthan,"Udaipur Forest division. The general volume equations was also used for Southern and Eastern Rajasthan. The local volume equation was also used for Indore catchment - Mandsour, Ratlam, Ujjain, Shajapur and Raigarh districts of Madhya Pradesh.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.008690+0.323051*(D^2)*H ,3.239,0.00869,0.323051,,,94,0.9123,,,,
Tectona grandis,175,623,1-618,L,2,forest_division,Rajasthan,"Udaipur Forest division. The general volume equations was also used for Southern and Eastern Rajasthan. The local volume equation was also used for Indore catchment - Mandsour, Ratlam, Ujjain, Shajapur and Raigarh districts of Madhya Pradesh.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.062108-0.927983*D+6.613031*D^2 ,5.747,0.062108,-0.927983,6.613031,,,,,,,
Tectona grandis,175,624,1-619,L,2,multi_district,Rajasthan,Southern and Eastern parts,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,2.13,-0.01066,0.18542,1.9554,,223,0.90484,,,,
Tectona grandis,175,625,1-620,L,3,multi_district,Uttar Pradesh,"Tarai Region-Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Gonda, Basti, Gorakhpur and Deoria districts. The general volume equation was also used for Balaghat. Seoni Mandla and Bilaspur districts of M.P.",L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.08847-1.4693*D+11.98979*D^2+1.970560*D^3 ,12.58,0.08847,-1.4693,11.98979,1.97056,275,0.9958,,,,
Tectona grandis,175,626,1-621,G,8,forest_division,West Bengal,Darjeeling and Kalimpong divisions. (F. A. O. Project Area),G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.22875+0.00176*(D^2)*H)*((D^2)*H),2.464,0.22875,0.00176,,,53,0.0045,,,,
Tectona grandis,175,626,1-621,L,12,forest_division,West Bengal,Darjeeling and Kalimpong divisions. (F. A. O. Project Area),L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-0.65623+0.00341/D+7.881*D)*D,7.228,-0.65623,0.00341,7.881,0,34,0.9533,,,,
Tectona grandis,176,627,1-622,L,2,forest_division,West Bengal,"Part of Andhra Pradesh and Madhya Pradesh, The local volume equation was also used for Kerala, Orissa, Tamil Nadu, and Orissa.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,2.873,-1.123,6.532,-2.536,,,,,,,
Terminalia belerica,176,,1-623,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,176,,1-624,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,176,,1-625,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,177,,1-626,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,177,,1-627,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,177,628,1-628,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,177,629,1-629,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,177,630,1-630,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,178,631,1-631,,,,,,,,,,,,,,,,,,,,
Terminalia bialata,178,632,1-632,,,,,,,,,,,,,,,,,,,,
Terminalia bialata,178,633,1-633,,,,,,,,,,,,,,,,,,,,
Terminalia chebula,179,634,1-634,,,,,,,,,,,,,,,,,,,,
Terminalia citrana,179,635,1-635,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,180,636,1-636,G,1,district,Andhra Pradesh,Adilabad district,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.00785+0.33165*(D^2)*H ,3.324,0.00785,0.33165,,,,,,,,
Terminalia tomentosa,180,636,1-636,L,2,district,Andhra Pradesh,Adilabad district,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.051812-1.076790*D+7.991280*D^2 ,6.966,0.051812,-1.07679,7.99128,,241,0.9445,,,,
Terminalia tomentosa,180,637,1-637,L,3,forest_division,Andhra Pradesh,Mehboobnagar Forest division,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.012763+9.281920*D^3 ,9.295,0.012763,0,0,9.28192,179,0.86,,,,
Terminalia tomentosa,180,638,1-638,G,8,district,Bihar,"Ranchi district. The general volume equation was also used for Purulia, Bankura and Midnapur districts of West Bengal.",G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.42823-0.002149*(D^2)*H),0.407,0.42823,-0.002149,,,60,0.00168,,,,
Terminalia tomentosa,181,639,1-639,G,1,district,Bihar,"West Champaran district. The general volume equation was also used for Narayanpur catchment Bastar district, M.P. and for Western parts of Nepal.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.00962+0.28661*(D^2)*H ,2.876,0.00962,0.28661,,,,,,,,
Terminalia tomentosa,181,639,1-639,L,8,district,Bihar,"West Champaran district. The general volume equation was also used for Narayanpur catchment Bastar district, M.P. and for Western parts of Nepal.",L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(10.24871-1.51685/D+0.08565/(D^2))*(D^2),8.818,10.24871,-1.51685,0.08565,,,,,,,
Terminalia tomentosa,181,640,1-640,G,9,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli, Mewasi Forest division, Dhulia, Nasik, Thane and Raigarh districts of Maharashtra and for Southern U.P. The local volume equation was also used for Khrgone, Khandwa, Dewas, Jhabua, Indore and Dhar districts of M.P.",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.348579-0.001412*(D^2)*H-0.004409/((D^2)*H))*((D^2)*H),3.34,0.348579,-0.001412,-0.004409,,80,0.12627,,,,
Terminalia tomentosa,181,640,1-640,L,5,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli, Mewasi Forest division, Dhulia, Nasik, Thane and Raigarh districts of Maharashtra and for Southern U.P. The local volume equation was also used for Khrgone, Khandwa, Dewas, Jhabua, Indore and Dhar districts of M.P.",L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.203947+3.159215*D)^2,8.734,-0.203947,3.159215,,,215,0.97596,,,,
Terminalia tomentosa,181,641,1-641,L,3,district,Karnataka,Kodagu district.,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.06517-0.21738*D+3.96894*(D^2)+4.63954*(D^3),8.456,0.06517,-0.21738,3.96894,4.63954,,,,,,
Terminalia tomentosa,181,642,1-642,G,8,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.28661+0.00962*(D^2)*H)*((D^2)*H),3.828,0.28661,0.00962,,,138,0.1032,,,,
Terminalia tomentosa,181,642,1-642,L,2,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.12646-1.57183*D+8.35611*D^2 ,6.911,0.12646,-1.57183,8.35611,,942,0.9749,,,,
Terminalia tomentosa,181,643,1-643,G,8,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts. The general volume equation was also used for Raipur district.,G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.369361-0.0068*(D^2)*H)*((D^2)*H),3.014,0.369361,-0.0068,,,30,0.352926,,,,
Terminalia tomentosa,181,643,1-643,L,3,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts. The general volume equation was also used for Raipur district.,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.07851-1.59610*D+11.33106*D^2+2.39723*D^3 ,12.211,0.07851,-1.5961,11.33106,2.39723,1382,0.95704,,,,
Terminalia tomentosa,182,644,1-644,G,1,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Raigarh and Bilaspur districts.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.028856+0.462852*(D^2)*H ,4.657,0.028856,0.462852,,,170,,,,,
Terminalia tomentosa,182,644,1-644,L,4,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Raigarh and Bilaspur districts.",L4,V=a+b*sqrt(D)+c*D^2,a+b*sqrt(D)+c*D^2,0.33695-1.23004*sqrt(D)+11.86676*D^2 ,10.974,0.33695,-1.23004,11.86676,,998,0.95634,,,,
Terminalia tomentosa,182,645,1-645,L,9,district,Madhya Pradesh,Raigarh district.,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(19.940708+0.17367/(D^2)-2.9171/D-16.01855*D)*(D^2),1.179,19.940708,0.17367,-2.9171,-16.01855,205,0.36006,,,,
Terminalia tomentosa,182,646,1-646,L,9,district,Madhya Pradesh,Bilaspur district.,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(4.09643+0.0114/(D^2)+0.01899/D+11.077995*D)*(D^2),15.205,4.09643,0.0114,0.01899,11.077995,451,0.48955,,,,
Terminalia tomentosa,182,647,1-647,L,2,district,Madhya Pradesh,Raipur district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.00376-0.77604*D+8.35533*D^2 ,7.583,0.00376,-0.77604,8.35533,,458,0.97007,,,,
Terminalia tomentosa,182,648,1-648,G,1,catchment,Maharashtra,Ballarshah catchment Chandrapur,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.135,-0.003885,0.313861,,,120,0.036,,,,
Terminalia tomentosa,182,,1-648,L,10,catchment,Maharashtra,Ballarshah catchment Chandrapur,L10,log(V)=a+b*log(D),exp(a+b*log(D)),exp(2.343936+2.616301*log(D)),10.422,2.343936,2.616301,,,477,,,,38,
Terminalia tomentosa,182,648,1-648,L,8,catchment,Maharashtra,Ballarshah catchment Chandrapur,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(8.204564-1.05615/D+0.048532/(D^2))*(D^2),7.197,8.204564,-1.05615,0.048532,,,,,,,38
